Case;"Player [1=Gössa; 2= player1; 3= player2; 4 = player3]";"Tune [1=Pellar; 2=Lorik; 3=JamtOlle; 4=Blecko; 5= Storpolska]";Volta;Section;SectionVolta;PerformanceMeasure;SectionMeasure;BarSTRING;Measure duration s;M dev;B1 ms;B2 ms;B3 ms;BP1;BP2;BP3;NDB1;NDB2;NDB3;"Rhythm Category [9999=E; 0=decreasing_or_stable; 2=repeated_ending]";"SB1 [1=unequal; 0= equal_or_NA]";"SB2 [1=unequal; 0= equal_or_NA]";"CND [1=decreasing; 2= stable; 3=increasing]";Tempo;M dev
393;2;1;2;1;2;55;8;A8;1.42;0.01;485;466;471;0.34;0.33;0.33;3;1;1;9999;0;0;1;128;101.4575311
394;2;1;2;1;2;56;9;A9;1.38;-0.01;460;458;464;0.33;0.33;0.34;1;1;2;2;0;0;2;128;98.65296921
395;2;1;2;2;1;57;1;B1;1.44;0.03;401;583;457;0.28;0.40;0.32;1;4;2;1200;0;0;3;128;102.7951163
396;2;1;2;2;1;58;2;B2;1.35;-0.04;358;525;467;0.27;0.39;0.35;1;2;3;1200;0;0;3;128;96.322304
397;2;1;2;2;1;59;3;B3;1.45;0.04;374;614;466;0.26;0.42;0.32;1;2;2;1201;0;1;3;128;103.6652744
398;2;1;2;2;1;60;4;B4;1.43;0.02;358;616;461;0.25;0.43;0.32;2;4;2;2400;0;0;3;128;102.3503327
399;2;1;2;2;1;61;5;B5;1.45;0.04;302;649;501;0.21;0.45;0.34;1;2;2;1200;0;0;3;128;103.5375003
400;2;1;2;2;1;62;6;B6;1.44;0.03;364;575;501;0.25;0.40;0.35;1;2;3;1200;0;0;3;128;102.7886466
401;2;1;2;2;1;63;7;B7;1.42;0.01;331;610;479;0.23;0.43;0.34;1;2;2;1201;0;1;3;128;101.2359481
402;2;1;2;2;1;64;8;B8;1.43;0.02;327;610;489;0.23;0.43;0.34;2;4;2;2400;0;0;3;128;101.6710272
403;2;1;2;2;1;65;9;B9;1.38;-0.02;351;584;444;0.25;0.42;0.32;1;4;2;1201;0;1;3;128;98.31655127
404;2;1;2;2;1;66;10;B10;1.48;0.06;549;418;517;0.37;0.28;0.35;2;1;1;9999;0;0;1;128;105.8099393
405;2;1;2;2;2;67;1;B1;1.41;0.00;315;636;457;0.22;0.45;0.32;1;2;2;1200;0;0;3;128;100.3884335
406;2;1;2;2;2;68;2;B2;1.41;0.01;327;566;518;0.23;0.40;0.37;1;2;3;1200;0;0;3;128;100.6148686
407;2;1;2;2;2;69;3;B3;1.40;0.00;340;614;447;0.24;0.44;0.32;1;2;2;1201;0;1;3;128;99.91130207
408;2;1;2;2;2;70;4;B4;1.40;0.00;423;518;457;0.30;0.37;0.33;2;4;2;2400;0;0;3;128;99.7657366
409;2;1;2;2;2;71;5;B5;1.47;0.05;348;640;482;0.24;0.44;0.33;1;2;2;1200;0;0;3;128;104.8993463
410;2;1;2;2;2;72;6;B6;1.41;0.00;349;561;497;0.25;0.40;0.35;1;2;3;1200;0;0;3;128;100.3674073
411;2;1;2;2;2;73;7;B7;1.43;0.02;329;642;457;0.23;0.45;0.32;1;2;2;1201;0;1;3;128;101.8570275
412;2;1;2;2;2;74;8;B8;1.44;0.02;372;607;457;0.26;0.42;0.32;2;4;2;2400;0;0;3;128;102.4958983
413;2;1;2;2;2;75;9;B9;1.43;0.02;362;595;470;0.25;0.42;0.33;1;4;3;1201;0;1;3;128;101.8392362
414;3;1;1;1;1;1;1;A1;1.73;0.24;498;691;543;0.29;0.40;0.31;1;2;2;1201;0;1;3;129;123.8972667
415;3;1;1;1;1;2;2;A2;1.41;0.01;347;522;537;0.25;0.37;0.38;1;4;2;1400;0;0;3;129;100.6438207
416;3;1;1;1;1;3;3;A3;1.37;-0.02;422;488;462;0.31;0.36;0.34;4;2;2;0;0;1;1;129;98.08749878
417;3;1;1;1;1;4;4;A4;1.38;-0.02;419;475;483;0.30;0.35;0.35;4;2;4;0;0;1;1;129;98.47678639
418;3;1;1;1;1;5;5;A5;1.44;0.03;320;604;518;0.22;0.42;0.36;1;2;2;1201;0;1;3;129;103.1871664
419;3;1;1;1;1;6;6;A6;1.36;-0.03;284;620;452;0.21;0.46;0.33;1;4;2;1400;0;0;3;129;97.01046978
420;3;1;1;1;1;7;7;A7;1.34;-0.04;392;507;437;0.29;0.38;0.33;4;2;2;0;0;1;1;129;95.55712943
421;3;1;1;1;1;8;8;A8;1.37;-0.02;390;489;493;0.28;0.36;0.36;3;1;1;9999;0;0;1;129;98.10047504
422;3;1;1;1;1;9;9;A9;1.37;-0.02;350;513;503;0.26;0.38;0.37;1;1;1;2;0;0;2;129;97.73714003
423;3;1;1;1;2;10;1;A1;1.45;0.04;269;660;518;0.19;0.46;0.36;1;2;2;1201;0;1;3;129;103.5505014
424;3;1;1;1;2;11;2;A2;1.37;-0.02;294;590;483;0.21;0.43;0.35;1;4;2;1400;0;0;3;129;97.73714003
425;3;1;1;1;2;12;3;A3;1.35;-0.04;402;477;467;0.30;0.35;0.35;4;2;2;0;0;1;1;129;96.23189456
426;3;1;1;1;2;13;4;A4;1.35;-0.03;346;534;471;0.26;0.40;0.35;4;2;4;0;0;1;1;129;96.69903974
427;3;1;1;1;2;14;5;A5;1.45;0.04;286;648;513;0.20;0.45;0.35;1;2;2;1201;0;1;3;129;103.5505015
428;3;1;1;1;2;15;6;A6;1.35;-0.03;279;615;457;0.21;0.45;0.34;1;4;2;1400;0;0;3;129;96.64713469
429;3;1;1;1;2;16;7;A7;1.35;-0.03;411;493;447;0.30;0.36;0.33;4;2;2;0;0;1;1;129;96.64713469
430;3;1;1;1;2;17;8;A8;1.35;-0.03;417;503;430;0.31;0.37;0.32;3;1;1;9999;0;0;1;129;96.53683655
431;3;1;1;1;2;18;9;A9;1.37;-0.02;327;533;508;0.24;0.39;0.37;1;1;1;2;0;0;2;129;97.8474381
432;3;1;1;2;1;19;1;B1;1.49;0.06;447;543;495;0.30;0.37;0.33;1;2;2;1200;0;0;3;129;106.2560503
433;3;1;1;2;1;20;2;B2;1.49;0.06;350;598;538;0.24;0.40;0.36;1;2;3;1200;0;0;3;129;106.2949791
434;3;1;1;2;1;21;3;B3;1.35;-0.04;350;516;479;0.26;0.38;0.36;1;2;2;1201;0;1;3;129;96.28379961
435;3;1;1;2;1;22;4;B4;1.38;-0.01;422;475;485;0.31;0.34;0.35;3;4;1;3400;0;0;3;129;98.82714522
436;3;1;1;2;1;23;5;B5;1.39;-0.01;321;598;470;0.23;0.43;0.34;1;2;2;1200;0;0;3;129;99.38674619
437;3;1;1;2;1;24;6;B6;1.42;0.02;317;589;518;0.22;0.41;0.36;1;2;3;1200;0;0;3;129;101.9008953
438;3;1;1;2;1;25;7;B7;1.40;0.00;364;596;437;0.26;0.43;0.31;1;2;2;1201;0;1;3;129;99.91715055
439;3;1;1;2;1;26;8;B8;1.38;-0.02;437;447;493;0.32;0.32;0.36;3;4;1;3400;0;0;3;129;98.4638102
440;3;1;1;2;1;27;9;B9;1.31;-0.07;279;575;451;0.21;0.44;0.35;1;2;3;1201;0;1;3;129;93.37711884
441;3;1;1;2;1;28;10;B10;1.42;0.02;462;513;447;0.32;0.36;0.31;1;1;1;9999;0;0;2;129;101.733826
442;3;1;1;2;1;29;11;B11;1.34;-0.04;345;548;451;0.26;0.41;0.34;1;1;2;2;0;0;2;129;96.11997444
443;3;1;1;2;2;30;1;B1;1.48;0.06;449;528;498;0.30;0.36;0.34;1;2;2;1200;0;0;3;129;105.5310021
444;3;1;1;2;2;31;2;B2;1.42;0.02;314;575;533;0.22;0.40;0.37;1;2;3;1200;0;0;3;129;101.733826
445;3;1;1;2;2;32;3;B3;1.40;0.00;356;539;507;0.25;0.38;0.36;1;2;2;1201;0;1;3;129;100.2804856
446;3;1;1;2;2;33;4;B4;1.35;-0.03;401;466;487;0.30;0.34;0.36;3;4;1;3400;0;0;3;129;96.88395135
447;3;1;1;2;2;34;5;B5;1.41;0.01;327;610;471;0.23;0.43;0.33;1;2;4;1200;0;0;3;129;100.6762614
448;3;1;1;2;2;35;6;B6;1.40;0.00;306;584;508;0.22;0.42;0.36;1;2;3;1200;0;0;3;129;100.0112283
449;3;1;1;2;2;36;7;B7;1.39;0.00;376;564;454;0.27;0.40;0.33;1;2;2;1201;0;1;3;129;99.67384584
450;3;1;1;2;2;37;8;B8;1.42;0.02;425;462;533;0.30;0.33;0.38;3;4;1;3400;0;0;3;129;101.6137956
451;3;1;1;2;2;38;9;B9;1.33;-0.05;295;589;442;0.22;0.44;0.33;1;2;3;1201;0;1;3;129;94.83045926
452;3;1;1;2;2;39;10;B10;1.40;0.00;472;494;435;0.34;0.35;0.31;1;1;1;9999;0;0;2;129;100.2804856
453;3;1;1;2;2;40;11;B11;1.45;0.04;422;500;531;0.29;0.34;0.37;1;1;1;2;0;0;2;129;103.9138366
454;3;1;2;1;1;41;2;A1;1.56;0.12;345;666;549;0.22;0.43;0.35;1;2;2;1201;0;1;3;129;111.5438735
455;3;1;2;1;1;42;3;A2;1.39;-0.01;279;640;467;0.20;0.46;0.34;1;4;2;1400;0;0;3;129;99.19048038
456;3;1;2;1;1;43;4;A3;1.40;0.00;406;534;459;0.29;0.38;0.33;4;2;2;0;0;1;1;129;100.0388029
457;3;1;2;1;1;44;5;A4;1.39;-0.01;379;543;463;0.27;0.39;0.33;4;2;4;0;0;1;1;129;99.13370925
458;3;1;2;1;1;45;6;A5;1.43;0.02;327;602;499;0.23;0.42;0.35;1;2;2;1201;0;1;3;129;102.1036492
459;3;1;2;1;1;46;7;A6;1.44;0.03;314;615;513;0.22;0.43;0.36;1;4;2;1400;0;0;3;129;103.115797
460;3;1;2;1;1;47;8;A7;1.32;-0.05;376;496;451;0.28;0.37;0.34;4;2;2;0;0;1;1;129;94.66176794
461;3;1;2;1;1;48;9;A8;1.40;0.00;397;510;493;0.28;0.36;0.35;3;1;1;9999;0;0;1;129;100.0858419
462;3;1;2;1;1;49;10;A9;1.42;0.02;338;516;569;0.24;0.36;0.40;1;1;1;2;0;0;2;129;101.733826
463;3;1;2;1;2;50;1;A1;1.43;0.02;264;625;538;0.19;0.44;0.38;1;2;2;1201;0;1;3;129;102.0971611
464;3;1;2;1;2;51;2;A2;1.33;-0.05;279;564;483;0.21;0.43;0.36;1;4;2;1400;0;0;3;129;94.83045926
465;3;1;2;1;2;52;3;A3;1.36;-0.03;398;480;483;0.29;0.35;0.35;4;2;2;0;0;1;1;129;97.37380487
466;3;1;2;1;2;53;4;A4;1.36;-0.03;361;544;452;0.27;0.40;0.33;4;2;4;0;0;1;1;129;97.03804435
467;3;1;2;1;2;54;5;A5;1.45;0.04;340;569;543;0.23;0.39;0.37;1;2;2;1201;0;1;3;129;103.886262
468;3;1;2;1;2;55;6;A6;1.44;0.03;305;589;543;0.21;0.41;0.38;1;4;2;1400;0;0;3;129;102.8238312
469;3;1;2;1;2;56;7;A7;1.32;-0.06;345;485;490;0.26;0.37;0.37;4;2;2;0;0;1;1;129;94.46712417
470;3;1;2;1;2;57;8;A8;1.34;-0.04;361;523;457;0.27;0.39;0.34;3;1;1;9999;0;0;1;129;95.92046452
471;3;1;2;1;2;58;9;A9;1.35;-0.03;356;532;463;0.26;0.39;0.34;1;1;2;2;0;0;2;129;96.64713469
472;3;1;2;2;1;59;1;B1;1.47;0.05;401;576;490;0.27;0.39;0.33;1;2;2;1200;0;0;3;129;105.0038418
473;3;1;2;2;1;60;2;B2;1.43;0.02;320;595;518;0.22;0.42;0.36;1;2;3;1200;0;0;3;129;102.4604962
474;3;1;2;2;1;61;3;B3;1.40;0.00;350;574;477;0.25;0.41;0.34;1;2;2;1201;0;1;3;129;100.2804856
475;3;1;2;2;1;62;4;B4;1.43;0.02;432;490;510;0.30;0.34;0.36;3;4;1;3400;0;0;3;129;102.4604962
476;3;1;2;2;1;63;5;B5;1.33;-0.05;254;627;445;0.19;0.47;0.34;1;2;2;1200;0;0;3;129;94.83045919
477;3;1;2;2;1;64;6;B6;1.48;0.06;340;610;528;0.23;0.41;0.36;1;2;3;1200;0;0;3;129;105.7305121
478;3;1;2;2;1;65;7;B7;1.35;-0.03;356;532;463;0.26;0.39;0.34;1;2;2;1201;0;1;3;129;96.64713469
479;3;1;2;2;1;66;8;B8;1.38;-0.02;442;471;464;0.32;0.34;0.34;3;4;1;3400;0;0;3;129;98.46381013
480;3;1;2;2;1;67;9;B9;1.30;-0.07;269;590;436;0.21;0.46;0.34;1;2;3;1201;0;1;3;129;92.63585042
481;3;1;2;2;1;68;10;B10;1.45;0.04;457;470;520;0.32;0.32;0.36;1;1;1;9999;0;0;2;129;103.5650997
482;3;1;2;2;2;69;1;B1;1.44;0.03;376;579;488;0.26;0.40;0.34;1;2;2;1200;0;0;3;129;103.1871664
483;3;1;2;2;2;70;2;B2;1.43;0.02;310;594;523;0.22;0.42;0.37;1;2;3;1200;0;0;3;129;102.0971611
484;3;1;2;2;2;71;3;B3;1.37;-0.02;386;497;488;0.28;0.36;0.36;1;2;2;1201;0;1;3;129;98.10047504
485;3;1;2;2;2;72;4;B4;1.37;-0.02;442;473;457;0.32;0.34;0.33;2;4;1;2400;0;0;3;129;98.09236493
486;3;1;2;2;2;73;5;B5;1.37;-0.02;290;594;483;0.21;0.43;0.35;1;2;2;1200;0;0;3;129;97.74525014
487;3;1;2;2;2;74;6;B6;1.42;0.01;306;546;565;0.22;0.39;0.40;1;2;3;1200;0;0;3;129;101.3704909
488;3;1;2;2;2;75;7;B7;1.36;-0.03;381;513;461;0.28;0.38;0.34;1;2;2;1201;0;1;3;129;96.94558855
489;3;1;2;2;2;76;8;B8;1.40;0.00;385;510;503;0.28;0.36;0.36;3;4;1;3400;0;0;3;129;99.98203178
490;3;1;2;2;2;77;9;B9;1.31;-0.07;279;564;464;0.21;0.43;0.35;1;2;3;1201;0;1;3;129;93.48741705
491;3;1;2;2;2;78;10;B10;1.47;0.05;461;493;515;0.31;0.34;0.35;1;1;1;9999;0;0;2;129;105.011952
492;3;1;2;2;2;79;11;B11;1.42;0.01;318;548;549;0.22;0.39;0.39;1;1;1;2;0;0;2;129;101.2520826
493;3;1;3;1;1;80;1;A1;1.46;0.05;290;655;518;0.20;0.45;0.35;1;2;2;1201;0;1;3;129;104.6405068
494;3;1;3;1;1;81;2;A2;1.33;-0.05;274;564;487;0.21;0.43;0.37;1;4;2;1400;0;0;3;129;94.83045919
495;3;1;3;1;1;82;3;A3;1.39;0.00;406;538;449;0.29;0.39;0.32;4;2;2;0;0;1;1;129;99.71601865
496;3;1;3;1;1;83;4;A4;1.38;-0.01;379;533;472;0.27;0.39;0.34;3;2;4;0;0;1;1;129;99.02827719
497;3;1;3;1;1;84;5;A5;1.48;0.06;322;643;513;0.22;0.44;0.35;1;2;2;1201;0;1;3;129;105.730512
498;3;1;3;1;1;85;6;A6;1.32;-0.06;254;579;488;0.19;0.44;0.37;1;4;2;1400;0;0;3;129;94.4671241
499;3;1;3;1;1;86;7;A7;1.35;-0.04;361;533;452;0.27;0.40;0.34;2;2;2;2211;1;1;2;129;96.28379961
500;3;1;3;1;1;87;8;A8;1.36;-0.02;381;508;475;0.28;0.37;0.35;3;1;1;9999;0;0;1;129;97.5262759
501;3;1;3;1;1;88;9;A9;1.37;-0.02;314;512;543;0.23;0.37;0.40;1;1;1;2;0;0;2;129;97.94800409
502;3;1;3;1;2;89;1;A1;1.46;0.05;295;640;528;0.20;0.44;0.36;1;2;2;1201;0;1;3;129;104.6405068
503;3;1;3;1;2;90;2;A2;1.37;-0.02;279;599;493;0.20;0.44;0.36;1;4;2;1400;0;0;3;129;98.10047504
504;3;1;3;1;2;91;3;A3;1.40;0.00;386;508;503;0.28;0.36;0.36;4;2;2;0;0;1;1;129;99.91715055
505;3;1;3;1;2;92;4;A4;1.36;-0.03;345;564;446;0.25;0.42;0.33;4;2;4;0;0;1;1;129;96.97316305
506;3;1;3;1;2;93;5;A5;1.41;0.01;310;588;509;0.22;0.42;0.36;1;2;2;1201;0;1;3;129;100.6811275
507;3;1;3;1;2;94;6;A6;1.37;-0.02;300;564;503;0.22;0.41;0.37;1;4;2;1400;0;0;3;129;97.73714003
508;3;1;3;1;2;95;7;A7;1.36;-0.03;402;482;472;0.30;0.36;0.35;4;2;2;0;0;1;1;129;97.01046978
509;3;1;3;1;2;96;8;A8;1.36;-0.03;363;495;498;0.27;0.37;0.37;3;1;1;9999;0;0;1;129;97.01046978
510;3;1;3;1;2;97;9;A9;1.34;-0.04;328;515;498;0.24;0.38;0.37;1;1;2;2;0;0;2;129;95.92046452
511;3;1;3;2;1;98;1;B1;1.46;0.04;417;569;474;0.29;0.39;0.32;1;2;2;1200;0;0;3;129;104.3663834
512;3;1;3;2;1;99;2;B2;1.48;0.06;329;615;533;0.22;0.42;0.36;1;2;3;1200;0;0;3;129;105.6413003
513;3;1;3;2;1;100;3;B3;1.37;-0.02;301;558;508;0.22;0.41;0.37;1;2;2;1201;0;1;3;129;97.73713996
514;3;1;3;2;1;101;4;B4;1.42;0.02;452;477;490;0.32;0.34;0.34;3;4;1;3400;0;0;3;129;101.5083636
515;3;1;3;2;1;102;5;B5;1.44;0.03;283;660;493;0.20;0.46;0.34;1;2;2;1200;0;0;3;129;102.6859586
516;3;1;3;2;1;103;6;B6;1.42;0.02;281;583;559;0.20;0.41;0.39;1;2;3;1200;0;0;3;129;101.733826
517;3;1;3;2;1;104;7;B7;1.37;-0.02;340;518;508;0.25;0.38;0.37;1;2;2;1201;0;1;3;129;97.73714003
518;3;1;3;2;1;105;8;B8;1.34;-0.04;411;462;467;0.31;0.34;0.35;3;4;1;3400;0;0;3;129;95.92046445
519;3;1;3;2;1;106;9;B9;1.36;-0.03;333;571;454;0.24;0.42;0.33;1;2;3;1201;0;1;3;129;97.17591707
520;3;1;3;2;1;107;10;B10;1.49;0.07;455;493;543;0.31;0.33;0.36;2;1;1;9999;0;0;1;129;106.6550701
521;3;1;3;2;2;108;1;B1;1.48;0.06;386;594;498;0.26;0.40;0.34;1;2;2;1200;0;0;3;129;105.730512
522;3;1;3;2;2;109;2;B2;1.44;0.03;285;600;558;0.20;0.42;0.39;1;2;3;1200;0;0;3;129;103.1871664
523;3;1;3;2;2;110;3;B3;1.37;-0.02;330;569;467;0.24;0.42;0.34;1;2;2;1201;0;1;3;129;97.73713996
524;3;1;3;2;2;111;4;B4;1.47;0.05;462;472;533;0.31;0.32;0.36;3;4;1;3400;0;0;3;129;105.0038418
525;3;1;3;2;2;112;5;B5;1.37;-0.02;308;597;469;0.22;0.43;0.34;1;2;2;1200;0;0;3;129;98.21888337
526;3;1;3;2;2;113;6;B6;1.48;0.06;327;601;549;0.22;0.41;0.37;1;2;3;1200;0;0;3;129;105.6121037
527;3;1;3;2;2;114;7;B7;1.41;0.01;349;540;518;0.25;0.38;0.37;1;2;2;1201;0;1;3;129;100.6438207
528;3;1;3;2;2;115;8;B8;1.42;0.01;369;571;477;0.26;0.40;0.34;2;4;1;2400;0;0;3;129;101.370491
529;3;1;3;2;2;116;9;B9;1.33;-0.05;312;587;429;0.23;0.44;0.32;1;2;3;1201;0;1;3;129;94.99428442
530;4;1;1;1;1;1;1;A1;1.67;0.17;417;682;573;0.25;0.41;0.34;1;4;2;1201;0;1;3;127;117.3490817
531;4;1;1;1;1;2;2;A2;1.48;0.04;356;573;548;0.24;0.39;0.37;1;4;2;1400;0;0;3;127;103.6032023
532;4;1;1;1;1;3;3;A3;1.47;0.03;489;425;551;0.33;0.29;0.38;2;2;2;2211;1;1;2;127;102.8013593
533;4;1;1;1;1;4;4;A4;1.48;0.04;479;519;486;0.32;0.35;0.33;4;2;4;0;0;1;1;127;104.1504919
534;4;1;1;1;1;5;5;A5;1.50;0.05;345;620;533;0.23;0.41;0.36;1;4;2;1201;0;1;3;127;105.1305223
535;4;1;1;1;1;6;6;A6;1.40;-0.02;334;562;501;0.24;0.40;0.36;1;4;2;1400;0;0;3;127;98.0030292
536;4;1;1;1;1;7;7;A7;1.46;0.02;465;482;512;0.32;0.33;0.35;2;2;2;2211;1;1;2;127;102.3304356
537;4;1;1;1;1;8;8;A8;1.48;0.04;454;486;538;0.31;0.33;0.36;3;1;1;9999;0;0;1;127;103.6032023
538;4;1;1;1;1;9;9;A9;1.39;-0.03;374;529;483;0.27;0.38;0.35;1;1;1;2;0;0;2;127;97.19959528
539;4;1;1;1;2;10;1;A1;1.50;0.05;334;629;535;0.22;0.42;0.36;1;4;2;1201;0;1;3;127;105.1527956
540;4;1;1;1;2;11;2;A2;1.34;-0.06;316;530;490;0.24;0.40;0.37;1;4;2;1400;0;0;3;127;93.69312328
541;4;1;1;1;2;12;3;A3;1.37;-0.04;423;437;512;0.31;0.32;0.37;2;2;2;2211;1;1;2;127;96.2211559
542;4;1;1;1;2;13;4;A4;1.51;0.06;438;516;551;0.29;0.34;0.37;4;2;4;0;0;1;1;127;105.6396288
543;4;1;1;1;2;14;5;A5;1.45;0.02;370;577;507;0.25;0.40;0.35;1;2;2;1201;0;1;3;127;102.0345175
544;4;1;1;1;2;15;6;A6;1.36;-0.04;323;559;483;0.24;0.41;0.35;1;4;2;1400;0;0;3;127;95.75341414
545;4;1;1;1;2;16;7;A7;1.41;-0.01;508;403;501;0.36;0.29;0.35;2;2;2;2211;1;1;2;127;99.02124251
546;4;1;1;1;2;17;8;A8;1.42;0.00;420;509;490;0.30;0.36;0.35;3;1;1;9999;0;0;1;127;99.5303491
547;4;1;1;1;2;18;9;A9;1.40;-0.01;393;543;468;0.28;0.39;0.33;1;1;1;2;0;0;2;127;98.51213585
548;4;1;1;2;1;19;1;B1;1.38;-0.03;316;570;497;0.23;0.41;0.36;1;2;2;1200;0;0;3;127;96.98481588
549;4;1;1;2;1;20;2;B2;1.47;0.03;363;577;526;0.25;0.39;0.36;1;2;3;1200;0;0;3;127;102.8395423
550;4;1;1;2;1;21;3;B3;1.43;0.00;374;548;504;0.26;0.38;0.35;1;2;2;1201;0;1;3;127;100.0394558
551;4;1;1;2;1;22;4;B4;1.40;-0.02;341;555;504;0.24;0.40;0.36;2;4;1;2400;0;0;3;127;98.25758252
552;4;1;1;2;1;23;5;B5;1.47;0.03;290;668;508;0.20;0.46;0.35;1;4;2;1200;0;0;3;127;102.8395423
553;4;1;1;2;1;24;6;B6;1.36;-0.05;305;584;468;0.22;0.43;0.34;1;2;3;1200;0;0;3;127;95.20294265
554;4;1;1;2;1;25;7;B7;1.39;-0.03;359;577;450;0.26;0.42;0.32;1;2;2;1201;0;1;3;127;97.23936921
555;4;1;1;2;1;26;8;B8;1.37;-0.04;366;537;468;0.27;0.39;0.34;2;4;1;2400;0;0;3;127;96.22115597
556;4;1;1;2;1;27;9;B9;1.44;0.01;475;446;519;0.33;0.31;0.36;2;2;3;1201;0;1;2;127;101.057669
557;4;1;1;2;1;28;10;B10;1.43;0.00;421;492;516;0.29;0.34;0.36;1;1;1;9999;0;0;2;127;100.2940091
558;4;1;1;2;2;29;1;B1;1.43;0.00;323;594;509;0.23;0.42;0.36;1;2;2;1200;0;0;3;127;100.0394558
559;4;1;1;2;2;30;2;B2;1.39;-0.03;337;537;514;0.24;0.39;0.37;1;2;1;1200;0;0;3;127;97.44460289
560;4;1;1;2;2;31;3;B3;1.43;0.00;367;533;526;0.26;0.37;0.37;1;2;2;1201;0;1;3;127;100.0887755
561;4;1;1;2;2;32;4;B4;1.36;-0.05;337;537;482;0.25;0.40;0.36;2;4;1;2400;0;0;3;127;95.11066705
562;4;1;1;2;2;33;5;B5;1.41;-0.01;304;613;493;0.22;0.43;0.35;1;2;2;1200;0;0;3;127;98.88282908
563;4;1;1;2;2;34;6;B6;1.31;-0.08;327;533;447;0.25;0.41;0.34;1;2;3;1200;0;0;3;127;91.71556209
564;4;1;1;2;2;35;7;B7;1.43;0.00;376;552;500;0.26;0.39;0.35;1;2;2;1201;0;1;3;127;100.1492319
565;4;1;1;2;2;36;8;B8;1.42;0.00;424;484;512;0.30;0.34;0.36;2;4;1;2400;0;0;3;127;99.65603486
566;4;1;1;2;2;37;9;B9;1.32;-0.07;394;497;431;0.30;0.38;0.33;1;2;3;1201;0;1;3;127;92.75445782
567;4;1;1;2;2;38;10;B10;1.50;0.05;510;456;530;0.34;0.30;0.35;1;1;1;9999;0;0;2;127;104.9523349
568;4;1;2;1;1;39;1;A1;1.47;0.03;362;607;501;0.25;0.41;0.34;1;4;2;1201;0;1;3;127;103.0940956
569;4;1;2;1;1;40;2;A2;1.39;-0.03;359;530;497;0.26;0.38;0.36;1;4;2;1400;0;0;3;127;97.23936928
570;4;1;2;1;1;41;3;A3;1.46;0.02;359;602;494;0.25;0.41;0.34;2;2;2;2211;1;1;2;127;102.1092924
571;4;1;2;1;1;42;4;A4;1.44;0.01;431;490;519;0.30;0.34;0.36;4;2;4;0;0;1;1;127;101.024259
572;4;1;2;1;1;43;5;A5;1.45;0.02;359;559;536;0.25;0.38;0.37;1;2;2;1201;0;1;3;127;102.0758823
573;4;1;2;1;1;44;6;A6;1.30;-0.09;323;541;437;0.25;0.42;0.34;1;4;2;1400;0;0;3;127;91.25736613
574;4;1;2;1;1;45;7;A7;1.47;0.03;543;427;495;0.37;0.29;0.34;2;2;2;2211;1;1;2;127;102.8077232
575;4;1;2;1;1;46;8;A8;1.42;-0.01;465;469;482;0.33;0.33;0.34;2;1;1;9999;0;0;1;127;99.37125325
576;4;1;2;1;1;47;9;A9;1.46;0.03;392;580;490;0.27;0.40;0.34;1;1;1;2;0;0;2;127;102.5213507
577;4;1;2;1;2;48;1;A1;1.54;0.08;354;622;567;0.23;0.40;0.37;1;2;2;1201;0;1;3;127;108.2488004
578;4;1;2;1;2;49;2;A2;1.33;-0.07;339;551;437;0.26;0.42;0.33;1;4;2;1400;0;0;3;127;93.07105854
579;4;1;2;1;2;50;3;A3;1.45;0.02;527;457;469;0.36;0.31;0.32;2;2;2;2211;1;1;2;127;101.9517876
580;4;1;2;1;2;51;4;A4;1.43;0.00;457;478;498;0.32;0.33;0.35;4;2;4;0;0;1;1;127;100.4833331
581;4;1;2;1;2;52;5;A5;1.51;0.06;356;580;577;0.24;0.38;0.38;1;2;2;1201;0;1;3;127;106.1964642
582;4;1;2;1;2;53;6;A6;1.37;-0.04;340;543;486;0.25;0.40;0.35;1;4;2;1400;0;0;3;127;96.0127404
583;4;1;2;1;2;54;7;A7;1.46;0.03;535;436;493;0.37;0.30;0.34;2;2;2;2211;1;1;2;127;102.7631763
584;4;1;2;1;2;55;8;A8;1.42;-0.01;458;461;498;0.32;0.33;0.35;3;1;1;9999;0;0;1;127;99.41580011
585;4;1;2;1;2;56;9;A9;1.39;-0.02;371;563;457;0.27;0.40;0.33;1;1;1;2;0;0;2;127;97.65301839
586;4;1;2;2;1;57;1;B1;1.47;0.03;298;639;532;0.20;0.43;0.36;1;2;2;1200;0;0;3;127;103.0940956
587;4;1;2;2;1;58;2;B2;1.35;-0.05;352;506;490;0.26;0.38;0.36;1;2;1;1200;0;0;3;127;94.50292096
588;4;1;2;2;1;59;3;B3;1.44;0.01;445;522;469;0.31;0.36;0.33;1;2;2;1201;0;1;3;127;100.8031157
589;4;1;2;2;1;60;4;B4;1.38;-0.03;339;544;501;0.24;0.39;0.36;2;4;1;2400;0;0;3;127;97.08027343
590;4;1;2;2;1;61;5;B5;1.45;0.02;318;645;484;0.22;0.45;0.33;1;2;2;1200;0;0;3;127;101.5317746
591;4;1;2;2;1;62;6;B6;1.41;-0.01;328;543;535;0.23;0.39;0.38;1;2;1;1200;0;0;3;127;98.6425944
592;4;1;2;2;1;63;7;B7;1.39;-0.02;396;547;449;0.28;0.39;0.32;1;2;2;1201;0;1;3;127;97.65301839
