Case;"Player [1=Gössa; 2= player1; 3= player2; 4 = player3]";"Tune [1=Pellar; 2=Lorik; 3=JamtOlle; 4=Blecko; 5= Storpolska]";Volta;Section;SectionVolta;PerformanceMeasure;SectionMeasure;BarSTRING;Measure duration s;M dev;B1 ms;B2 ms;B3 ms;BP1;BP2;BP3;NDB1;NDB2;NDB3;"Rhythm Category [9999=E; 0=decreasing_or_stable; 2=repeated_ending]";"SB1 [1=unequal; 0= equal_or_NA]";"SB2 [1=unequal; 0= equal_or_NA]";"CND [1=decreasing; 2= stable; 3=increasing]";Tempo;M dev
138;1;5;1;1;1;4;4;A4;1.32;0.04;388;465;467;0.29;0.35;0.35;3;1;2;9999;0;0;1;142;104.3041777
139;1;5;1;1;2;5;1;A1;1.26;-0.01;417;484;359;0.33;0.38;0.28;1;1;1;0;0;0;2;142;99.49013867
140;1;5;1;1;2;6;2;A2;1.23;-0.03;366;437;427;0.30;0.36;0.35;2;2;1;2210;1;0;2;142;97.08311931
141;1;5;1;1;2;7;3;A3;1.22;-0.03;380;372;470;0.31;0.30;0.38;2;4;2;2410;1;0;3;142;96.51001934
142;1;5;1;1;2;8;4;A4;1.32;0.04;442;469;406;0.34;0.36;0.31;3;1;1;9999;0;0;1;142;104.0749377
143;1;5;1;1;2;9;5;A5;1.22;-0.03;325;518;379;0.27;0.42;0.31;1;1;1;2;0;0;2;142;96.51001941
144;1;5;1;2;1;10;1;B1;1.34;0.05;383;495;457;0.29;0.37;0.34;2;2;2;2210;1;0;2;142;105.4503774
145;1;5;1;2;1;11;2;B2;1.11;-0.13;237;485;386;0.21;0.44;0.35;2;4;2;2400;0;0;3;142;87.46578695
146;1;5;1;2;1;12;3;B3;1.10;-0.13;317;377;406;0.29;0.34;0.37;2;3;2;0;0;0;3;142;86.8711958
147;1;5;1;2;1;13;4;B4;1.30;0.03;284;497;524;0.22;0.38;0.40;2;3;2;0;0;1;3;142;103.0433579
148;1;5;1;2;1;14;5;B5;1.26;-0.01;341;477;437;0.27;0.38;0.35;1;2;2;2210;1;0;3;142;99.14627887
149;1;5;1;2;1;15;6;B6;1.14;-0.10;234;457;447;0.21;0.40;0.39;2;4;2;2400;0;0;3;142;89.89429765
150;1;5;1;2;1;16;7;B7;1.18;-0.07;264;495;418;0.22;0.42;0.36;2;2;3;2200;0;0;2;142;92.92098134
151;1;5;1;2;1;17;8;B8;1.38;0.09;427;481;472;0.31;0.35;0.34;2;1;2;9999;0;0;1;142;108.8925586
152;1;5;1;3;1;18;1;C1;1.28;0.01;370;499;407;0.29;0.39;0.32;1;1;2;0;0;0;2;142;100.7509584
153;1;5;1;3;1;19;2;C2;1.18;-0.07;334;448;393;0.28;0.38;0.33;2;2;1;2210;1;0;2;142;92.84218022
154;1;5;1;3;1;20;3;C3;1.31;0.04;438;498;379;0.33;0.38;0.29;2;4;2;2400;0;0;3;142;103.8456977
155;1;5;1;3;1;21;4;C4;1.30;0.02;414;467;417;0.32;0.36;0.32;3;1;1;9999;1;0;1;142;102.4702581
156;1;5;1;3;2;22;1;C1;1.33;0.05;447;480;400;0.34;0.36;0.30;1;1;2;0;0;0;2;142;104.7751942
157;1;5;1;3;2;23;2;C2;1.25;-0.01;350;494;407;0.28;0.39;0.33;2;2;1;2210;1;0;2;142;98.78988227
158;1;5;1;3;2;24;3;C3;1.38;0.09;494;443;439;0.36;0.32;0.32;2;4;2;2400;0;0;3;142;108.6597368
159;1;5;1;3;2;25;4;C4;1.34;0.06;392;461;487;0.29;0.34;0.36;3;1;1;9999;1;0;1;142;105.892739
160;1;5;1;3;2;26;5;C5;1.30;0.02;390;463;444;0.30;0.36;0.34;1;1;1;2;0;0;2;142;102.4863765
161;1;5;1;2;2;27;1;B5;1.28;0.01;313;444;518;0.25;0.35;0.41;2;2;2;2210;1;0;2;142;100.7509585
162;1;5;1;2;2;28;2;B6;1.16;-0.08;239;496;425;0.21;0.43;0.37;2;4;2;2400;0;0;3;142;91.69956228
163;1;5;1;2;2;29;3;B7;1.20;-0.05;254;522;427;0.21;0.43;0.36;2;2;3;2200;0;0;2;142;95.07547873
164;1;5;1;2;2;30;4;B8;1.29;0.02;417;435;441;0.32;0.34;0.34;2;1;1;9999;0;0;1;142;102.2034084
165;1;5;2;1;1;31;1;A1;1.40;0.10;518;427;451;0.37;0.31;0.32;1;1;1;0;0;0;2;142;110.2429251
166;1;5;2;1;1;32;2;A2;1.28;0.01;370;518;392;0.29;0.40;0.31;2;2;1;2210;1;0;2;142;101.0948184
167;1;5;2;1;1;33;3;A3;1.22;-0.04;383;348;486;0.31;0.29;0.40;2;4;2;2410;1;0;3;142;96.14825011
168;1;5;2;1;1;34;4;A4;1.36;0.07;421;516;423;0.31;0.38;0.31;3;1;2;9999;0;0;1;142;107.3344433
169;1;5;2;1;2;35;1;A1;1.31;0.03;455;386;464;0.35;0.30;0.36;1;1;1;0;0;0;2;142;103.0827586
170;1;5;2;1;2;36;2;A2;1.25;-0.01;296;539;412;0.24;0.43;0.33;2;2;3;2210;1;0;2;142;98.50154145
171;1;5;2;1;2;37;3;A3;1.27;0.00;383;405;483;0.30;0.32;0.38;2;4;2;2410;1;0;3;142;100.4070985
172;1;5;2;1;2;38;4;A4;1.35;0.06;435;444;468;0.32;0.33;0.35;3;1;1;9999;0;0;1;142;106.4318111
173;1;5;2;1;2;39;5;A5;1.20;-0.05;333;402;464;0.28;0.34;0.39;1;1;1;2;0;0;2;142;94.72624597
174;1;5;2;2;1;40;1;B1;1.34;0.06;382;467;493;0.28;0.35;0.37;2;2;2;2210;1;0;2;142;106.0234773
175;1;5;2;2;1;41;2;B2;1.11;-0.12;229;466;414;0.21;0.42;0.37;2;4;2;2400;0;0;3;142;87.56966124
176;1;5;2;2;1;42;3;B3;1.13;-0.11;296;409;427;0.26;0.36;0.38;2;3;2;0;0;0;3;142;89.40358096
177;1;5;2;2;1;43;4;B4;1.26;-0.01;248;479;530;0.20;0.38;0.42;2;3;1;0;0;1;3;142;99.26089875
178;1;5;2;2;1;44;5;B5;1.21;-0.05;328;485;394;0.27;0.40;0.33;2;2;2;2210;1;0;2;142;95.36381963
179;1;5;2;2;1;45;6;B6;1.24;-0.02;287;462;488;0.23;0.37;0.39;2;4;2;2400;0;0;3;142;97.77083908
180;1;5;2;2;1;46;7;B7;1.19;-0.06;251;505;436;0.21;0.42;0.37;2;2;3;2200;0;0;2;142;94.1316549
181;1;5;2;2;1;47;8;B8;1.28;0.01;383;461;431;0.30;0.36;0.34;2;1;1;9999;0;0;1;142;100.7276762
182;1;5;2;3;1;48;1;C1;1.34;0.06;501;470;373;0.37;0.35;0.28;1;1;2;0;0;0;2;142;106.0897421
183;1;5;2;3;1;49;2;C2;1.27;0.01;344;532;397;0.27;0.42;0.31;2;2;1;2210;1;0;2;142;100.564701
184;1;5;2;3;1;50;3;C3;1.40;0.11;445;463;496;0.32;0.33;0.35;2;3;2;2400;0;0;3;142;110.8375163
185;1;5;2;3;1;51;4;C4;1.28;0.01;321;461;502;0.25;0.36;0.39;3;1;1;9999;1;0;1;142;101.4386783
186;1;5;2;3;2;52;1;C1;1.28;0.01;491;435;357;0.38;0.34;0.28;1;1;1;0;0;0;2;142;101.3240584
187;1;5;2;3;2;53;2;C2;1.29;0.02;383;469;437;0.30;0.36;0.34;1;2;1;2210;1;0;3;142;101.7825382
188;1;5;2;3;2;54;3;C3;1.40;0.10;464;481;453;0.33;0.34;0.32;2;4;2;2400;0;0;3;142;110.3790364
189;1;5;2;3;2;55;4;C4;1.31;0.04;396;452;467;0.30;0.34;0.36;3;1;1;9999;1;0;1;142;103.8528616
190;1;5;2;3;2;56;5;C5;1.25;-0.01;344;525;385;0.27;0.42;0.31;1;1;1;2;0;0;2;142;99.02449507
191;1;5;2;2;2;57;1;B5;1.34;0.06;379;514;443;0.28;0.38;0.33;2;2;2;2210;1;0;2;142;105.5649974
192;1;5;2;2;2;58;2;B6;1.22;-0.04;333;460;427;0.27;0.38;0.35;2;4;2;2400;0;0;3;142;96.28077949
